schema_version,source_file,source_sha256,module,flow,symbol_id,parent_symbol_id,qualname,name,kind,line_start,line_end,visibility,decorators,status,whole_file_evidence,ledger_slice_ids,rust_targets,rust_locations,acceptance_evidence,blockers
1,qlib/backtest/__init__.py,1fdf1fe291353ea6f2695b341a5edebfa5ef92fac52107efffe3b01b3c1a15d2,qlib.backtest,backtest-execution,qlib/backtest/__init__.py::get_exchange@33,qlib/backtest/__init__.py::<module>@1,get_exchange,get_exchange,function,33,110,public,[],accepted_by_whole_file,已验收：六个函数、惰性数据收集、双向恢复、配置/报告边界、`__all__`、导入及日志初始化（2026-09-06）,[],[],[],[],[]
1,qlib/backtest/__init__.py,1fdf1fe291353ea6f2695b341a5edebfa5ef92fac52107efffe3b01b3c1a15d2,qlib.backtest,backtest-execution,qlib/backtest/__init__.py::create_account_instance@113,qlib/backtest/__init__.py::<module>@1,create_account_instance,create_account_instance,function,113,174,public,[],accepted_by_whole_file,已验收：六个函数、惰性数据收集、双向恢复、配置/报告边界、`__all__`、导入及日志初始化（2026-09-06）,[],[],[],[],[]
1,qlib/backtest/__init__.py,1fdf1fe291353ea6f2695b341a5edebfa5ef92fac52107efffe3b01b3c1a15d2,qlib.backtest,backtest-execution,qlib/backtest/__init__.py::get_strategy_executor@177,qlib/backtest/__init__.py::<module>@1,get_strategy_executor,get_strategy_executor,function,177,214,public,[],accepted_by_whole_file,已验收：六个函数、惰性数据收集、双向恢复、配置/报告边界、`__all__`、导入及日志初始化（2026-09-06）,[],[],[],[],[]
1,qlib/backtest/__init__.py,1fdf1fe291353ea6f2695b341a5edebfa5ef92fac52107efffe3b01b3c1a15d2,qlib.backtest,backtest-execution,qlib/backtest/__init__.py::backtest@217,qlib/backtest/__init__.py::<module>@1,backtest,backtest,function,217,276,public,[],accepted_by_whole_file,已验收：六个函数、惰性数据收集、双向恢复、配置/报告边界、`__all__`、导入及日志初始化（2026-09-06）,[],[],[],[],[]
1,qlib/backtest/__init__.py,1fdf1fe291353ea6f2695b341a5edebfa5ef92fac52107efffe3b01b3c1a15d2,qlib.backtest,backtest-execution,qlib/backtest/__init__.py::collect_data@279,qlib/backtest/__init__.py::<module>@1,collect_data,collect_data,function,279,309,public,[],accepted_by_whole_file,已验收：六个函数、惰性数据收集、双向恢复、配置/报告边界、`__all__`、导入及日志初始化（2026-09-06）,[],[],[],[],[]
1,qlib/backtest/__init__.py,1fdf1fe291353ea6f2695b341a5edebfa5ef92fac52107efffe3b01b3c1a15d2,qlib.backtest,backtest-execution,qlib/backtest/__init__.py::format_decisions@312,qlib/backtest/__init__.py::<module>@1,format_decisions,format_decisions,function,312,346,public,[],accepted_by_whole_file,已验收：六个函数、惰性数据收集、双向恢复、配置/报告边界、`__all__`、导入及日志初始化（2026-09-06）,[],[],[],[],[]
1,qlib/backtest/__init__.py,1fdf1fe291353ea6f2695b341a5edebfa5ef92fac52107efffe3b01b3c1a15d2,qlib.backtest,backtest-execution,qlib/backtest/__init__.py::__all__@349,qlib/backtest/__init__.py::<module>@1,__all__,__all__,module_variable,349,349,public,[],accepted_by_whole_file,已验收：六个函数、惰性数据收集、双向恢复、配置/报告边界、`__all__`、导入及日志初始化（2026-09-06）,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::<module>@1,,<module>,<module>,module,1,417,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::AccumulatedInfo@35,qlib/backtest/account.py::<module>@1,AccumulatedInfo,AccumulatedInfo,class,35,68,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::AccumulatedInfo.__init__@41,qlib/backtest/account.py::AccumulatedInfo@35,AccumulatedInfo.__init__,__init__,method,41,42,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::AccumulatedInfo.reset@44,qlib/backtest/account.py::AccumulatedInfo@35,AccumulatedInfo.reset,reset,method,44,47,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::AccumulatedInfo.add_return_value@49,qlib/backtest/account.py::AccumulatedInfo@35,AccumulatedInfo.add_return_value,add_return_value,method,49,50,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::AccumulatedInfo.add_cost@52,qlib/backtest/account.py::AccumulatedInfo@35,AccumulatedInfo.add_cost,add_cost,method,52,53,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::AccumulatedInfo.add_turnover@55,qlib/backtest/account.py::AccumulatedInfo@35,AccumulatedInfo.add_turnover,add_turnover,method,55,56,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::AccumulatedInfo.get_return@59,qlib/backtest/account.py::AccumulatedInfo@35,AccumulatedInfo.get_return,get_return,method,59,60,public,"[""property""]",not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::AccumulatedInfo.get_cost@63,qlib/backtest/account.py::AccumulatedInfo@35,AccumulatedInfo.get_cost,get_cost,method,63,64,public,"[""property""]",not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::AccumulatedInfo.get_turnover@67,qlib/backtest/account.py::AccumulatedInfo@35,AccumulatedInfo.get_turnover,get_turnover,method,67,68,public,"[""property""]",not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account@71,qlib/backtest/account.py::<module>@1,Account,Account,class,71,417,public,[],ledger_evidence_candidate,,"[""ledger-054"", ""ledger-055"", ""ledger-056"", ""ledger-057"", ""ledger-058"", ""ledger-059"", ""ledger-061"", ""ledger-075""]","[""`Account::update_bar_end`, `AccountBarEndMode`, `AccountBarEndUpdate`"", ""`Account::update_historical_positions`, `HistoricalPosition`"", ""`Account::update_indicator`, `AccountIndicator`, `AccountIndicatorOutput`"", ""`AccountPortfolioReport`, `Account::{portfolio_report,indicator,order_indicator_snapshot}`"", ""`Account`, extended `AccountPosition`, `PortfolioMetrics`"", ""`AtomicAccountAdapter`, extended `AccountPosition`, `SharedAtomicExecutorLifecycle`, `SharedAtomicResult`, `SharedAtomicExecutorAccount`"", ""`ExchangeSaoeMarket`, `NestedAccountSaoeContext`"", ""`NestedExecutorLifecycle`, `NestedAccountAdapter`""]","[""crates/core/src/account.rs:1017:Account"", ""crates/core/src/account.rs:1194:order_indicator_snapshot"", ""crates/core/src/account.rs:1336:portfolio_report"", ""crates/core/src/account.rs:1419:update_historical_positions"", ""crates/core/src/account.rs:1446:update_indicator"", ""crates/core/src/account.rs:1489:update_bar_end"", ""crates/core/src/account.rs:166:AccountPosition"", ""crates/core/src/account.rs:612:AccountBarEndMode"", ""crates/core/src/account.rs:620:AccountBarEndUpdate"", ""crates/core/src/account.rs:630:AccountIndicator"", ""crates/core/src/account.rs:707:order_indicator_snapshot"", ""crates/core/src/account.rs:804:order_indicator_snapshot"", ""crates/core/src/account.rs:834:AccountIndicatorOutput"", ""crates/core/src/account.rs:912:HistoricalPosition"", ""crates/core/src/account.rs:956:indicator"", ""crates/core/src/account.rs:972:indicator"", ""crates/core/src/account.rs:999:AccountPortfolioReport"", ""crates/core/src/account_executor.rs:60:update_bar_end"", ""crates/core/src/account_executor.rs:87:order_indicator_snapshot"", ""crates/core/src/account_executor.rs:9:AtomicAccountAdapter"", ""crates/core/src/atomic_nested_inner.rs:125:order_indicator_snapshot"", ""crates/core/src/executor_lifecycle.rs:105:update_bar_end"", ""crates/core/src/executor_lifecycle.rs:119:order_indicator_snapshot"", ""crates/core/src/live_recursive_inner.rs:199:order_indicator_snapshot"", ""crates/core/src/nested_account_executor.rs:67:update_bar_end"", ""crates/core/src/nested_account_executor.rs:9:NestedAccountAdapter"", ""crates/core/src/nested_executor.rs:529:order_indicator_snapshot"", ""crates/core/src/nested_executor_lifecycle.rs:131:NestedExecutorLifecycle"", ""crates/core/src/nested_executor_lifecycle.rs:73:update_bar_end"", ""crates/core/src/owned_atomic_inner.rs:208:order_indicator_snapshot"", ""crates/core/src/portfolio_metrics.rs:149:PortfolioMetrics"", ""crates/core/src/recursive_nested_inner.rs:244:order_indicator_snapshot"", ""crates/core/src/saoe_infrastructure.rs:120:NestedAccountSaoeContext"", ""crates/core/src/saoe_infrastructure.rs:24:ExchangeSaoeMarket"", ""crates/core/src/shared_executor_lifecycle.rs:107:SharedAtomicExecutorLifecycle"", ""crates/core/src/shared_executor_lifecycle.rs:17:SharedAtomicResult"", ""crates/core/src/shared_executor_lifecycle.rs:51:SharedAtomicExecutorAccount"", ""crates/core/src/shared_nested_account.rs:67:update_bar_end"", ""crates/core/src/strategy_executor_construction.rs:54:Account""]","[""3 focused tests; five-stage live Python AST differential; whole workspace 100% lines/functions/regions/branches"", ""4 focused tests; 2 live Python AST differentials; whole workspace 100% lines/functions/regions/branches"", ""4 focused tests; atomic/nested live Python AST differential; whole workspace 100% lines/functions/regions/branches"", ""4 lifecycle/adapter tests plus prior loop matrix; live Python AST differential; whole workspace 100% lines/functions/regions/branches"", ""5 focused tests; end-to-end configured-adapter composition; exact 100% whole-workspace coverage"", ""6 metric-focused account tests; live Python AST differential; whole workspace 100% lines/functions/regions/branches"", ""Historical lifecycle tests plus 3 native shared Account/Indicator tests; actual source alias/read-order oracles; three changed files exactly 100% lines/functions/regions/branches"", ""Historical source differential plus shared-order live read after market/reset; current account.rs exactly 100% lines/functions/regions/branches; full workspace gate still fails elsewhere""]","[""Concrete inner atomic adapter and resumable RL control transfer remain separate"", ""Full `update_bar_end` composition remains separate"", ""Full configuration/child-graph builder remains separate"", ""Historical-position snapshots and full bar-end orchestration remain separate"", ""Indicator update and full bar-end orchestration remain separate"", ""Nested shared-result transport and same-order reentrant dealer/report plugins remain separate"", ""Nested shared-result transport remains separate"", ""Nested-executor loop remains separate""]"
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.__init__@79,qlib/backtest/account.py::Account@71,Account.__init__,__init__,method,79,109,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.init_vars@111,qlib/backtest/account.py::Account@71,Account.init_vars,init_vars,method,111,130,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.is_port_metr_enabled@132,qlib/backtest/account.py::Account@71,Account.is_port_metr_enabled,is_port_metr_enabled,method,132,136,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.reset_report@138,qlib/backtest/account.py::Account@71,Account.reset_report,reset_report,method,138,153,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.reset@155,qlib/backtest/account.py::Account@71,Account.reset,reset,method,155,175,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.get_hist_positions@177,qlib/backtest/account.py::Account@71,Account.get_hist_positions,get_hist_positions,method,177,178,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.get_cash@180,qlib/backtest/account.py::Account@71,Account.get_cash,get_cash,method,180,181,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account._update_state_from_order@183,qlib/backtest/account.py::Account@71,Account._update_state_from_order,_update_state_from_order,method,183,201,private,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.update_order@203,qlib/backtest/account.py::Account@71,Account.update_order,update_order,method,203,223,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.update_current_position@225,qlib/backtest/account.py::Account@71,Account.update_current_position,update_current_position,method,225,248,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.update_portfolio_metrics@250,qlib/backtest/account.py::Account@71,Account.update_portfolio_metrics,update_portfolio_metrics,method,250,291,public,[],ledger_evidence_candidate,,"[""ledger-054""]","[""`Account`, extended `AccountPosition`, `PortfolioMetrics`""]","[""crates/core/src/account.rs:1017:Account"", ""crates/core/src/account.rs:166:AccountPosition"", ""crates/core/src/portfolio_metrics.rs:149:PortfolioMetrics"", ""crates/core/src/strategy_executor_construction.rs:54:Account""]","[""6 metric-focused account tests; live Python AST differential; whole workspace 100% lines/functions/regions/branches""]","[""Historical-position snapshots and full bar-end orchestration remain separate""]"
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.update_hist_positions@293,qlib/backtest/account.py::Account@71,Account.update_hist_positions,update_hist_positions,method,293,301,public,[],ledger_evidence_candidate,,"[""ledger-055""]","[""`Account::update_historical_positions`, `HistoricalPosition`""]","[""crates/core/src/account.rs:1017:Account"", ""crates/core/src/account.rs:1419:update_historical_positions"", ""crates/core/src/account.rs:912:HistoricalPosition"", ""crates/core/src/strategy_executor_construction.rs:54:Account""]","[""3 focused tests; five-stage live Python AST differential; whole workspace 100% lines/functions/regions/branches""]","[""Indicator update and full bar-end orchestration remain separate""]"
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.update_indicator@303,qlib/backtest/account.py::Account@71,Account.update_indicator,update_indicator,method,303,336,public,[],ledger_evidence_candidate,,"[""ledger-056""]","[""`Account::update_indicator`, `AccountIndicator`, `AccountIndicatorOutput`""]","[""crates/core/src/account.rs:1017:Account"", ""crates/core/src/account.rs:1446:update_indicator"", ""crates/core/src/account.rs:630:AccountIndicator"", ""crates/core/src/account.rs:834:AccountIndicatorOutput"", ""crates/core/src/strategy_executor_construction.rs:54:Account""]","[""4 focused tests; atomic/nested live Python AST differential; whole workspace 100% lines/functions/regions/branches""]","[""Full `update_bar_end` composition remains separate""]"
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.update_bar_end@338,qlib/backtest/account.py::Account@71,Account.update_bar_end,update_bar_end,method,338,403,public,[],ledger_evidence_candidate,,"[""ledger-057"", ""ledger-061""]","[""`Account::update_bar_end`, `AccountBarEndMode`, `AccountBarEndUpdate`"", ""`NestedExecutorLifecycle`, `NestedAccountAdapter`""]","[""crates/core/src/account.rs:1017:Account"", ""crates/core/src/account.rs:1489:update_bar_end"", ""crates/core/src/account.rs:612:AccountBarEndMode"", ""crates/core/src/account.rs:620:AccountBarEndUpdate"", ""crates/core/src/account_executor.rs:60:update_bar_end"", ""crates/core/src/executor_lifecycle.rs:105:update_bar_end"", ""crates/core/src/nested_account_executor.rs:67:update_bar_end"", ""crates/core/src/nested_account_executor.rs:9:NestedAccountAdapter"", ""crates/core/src/nested_executor_lifecycle.rs:131:NestedExecutorLifecycle"", ""crates/core/src/nested_executor_lifecycle.rs:73:update_bar_end"", ""crates/core/src/shared_nested_account.rs:67:update_bar_end"", ""crates/core/src/strategy_executor_construction.rs:54:Account""]","[""4 lifecycle/adapter tests plus prior loop matrix; live Python AST differential; whole workspace 100% lines/functions/regions/branches"", ""Historical source differential plus shared-order live read after market/reset; current account.rs exactly 100% lines/functions/regions/branches; full workspace gate still fails elsewhere""]","[""Concrete inner atomic adapter and resumable RL control transfer remain separate"", ""Nested shared-result transport remains separate""]"
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.get_portfolio_metrics@405,qlib/backtest/account.py::Account@71,Account.get_portfolio_metrics,get_portfolio_metrics,method,405,413,public,[],ledger_evidence_candidate,,"[""ledger-059""]","[""`AccountPortfolioReport`, `Account::{portfolio_report,indicator,order_indicator_snapshot}`""]","[""crates/core/src/account.rs:1017:Account"", ""crates/core/src/account.rs:1194:order_indicator_snapshot"", ""crates/core/src/account.rs:1336:portfolio_report"", ""crates/core/src/account.rs:707:order_indicator_snapshot"", ""crates/core/src/account.rs:804:order_indicator_snapshot"", ""crates/core/src/account.rs:956:indicator"", ""crates/core/src/account.rs:972:indicator"", ""crates/core/src/account.rs:999:AccountPortfolioReport"", ""crates/core/src/account_executor.rs:87:order_indicator_snapshot"", ""crates/core/src/atomic_nested_inner.rs:125:order_indicator_snapshot"", ""crates/core/src/executor_lifecycle.rs:119:order_indicator_snapshot"", ""crates/core/src/live_recursive_inner.rs:199:order_indicator_snapshot"", ""crates/core/src/nested_executor.rs:529:order_indicator_snapshot"", ""crates/core/src/owned_atomic_inner.rs:208:order_indicator_snapshot"", ""crates/core/src/recursive_nested_inner.rs:244:order_indicator_snapshot"", ""crates/core/src/strategy_executor_construction.rs:54:Account""]","[""4 focused tests; 2 live Python AST differentials; whole workspace 100% lines/functions/regions/branches""]","[""Nested-executor loop remains separate""]"
1,qlib/backtest/account.py,701886f32a36becd9c5d78b28e4b5a751ede01becc12146a9ccf99400235538b,qlib.backtest.account,backtest-execution,qlib/backtest/account.py::Account.get_trade_indicator@415,qlib/backtest/account.py::Account@71,Account.get_trade_indicator,get_trade_indicator,method,415,417,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/backtest.py,d77365075f503a9dc0affe009cb3f68c0c89142dbdf5629b0fcf9b492cd20cc8,qlib.backtest.backtest,backtest-execution,qlib/backtest/backtest.py::<module>@1,,<module>,<module>,module,1,109,public,[],whole_file_accepted,已验收：外层生成器、非交互包装、清理/错误顺序、报告所有权及生产后端（2026-09-06）,[],[],[],[],[]
1,qlib/backtest/backtest.py,d77365075f503a9dc0affe009cb3f68c0c89142dbdf5629b0fcf9b492cd20cc8,qlib.backtest.backtest,backtest-execution,qlib/backtest/backtest.py::PORT_METRIC@21,qlib/backtest/backtest.py::<module>@1,PORT_METRIC,PORT_METRIC,module_variable,21,21,public,[],accepted_by_whole_file,已验收：外层生成器、非交互包装、清理/错误顺序、报告所有权及生产后端（2026-09-06）,[],[],[],[],[]
1,qlib/backtest/backtest.py,d77365075f503a9dc0affe009cb3f68c0c89142dbdf5629b0fcf9b492cd20cc8,qlib.backtest.backtest,backtest-execution,qlib/backtest/backtest.py::INDICATOR_METRIC@22,qlib/backtest/backtest.py::<module>@1,INDICATOR_METRIC,INDICATOR_METRIC,module_variable,22,22,public,[],accepted_by_whole_file,已验收：外层生成器、非交互包装、清理/错误顺序、报告所有权及生产后端（2026-09-06）,[],[],[],[],[]
1,qlib/backtest/backtest.py,d77365075f503a9dc0affe009cb3f68c0c89142dbdf5629b0fcf9b492cd20cc8,qlib.backtest.backtest,backtest-execution,qlib/backtest/backtest.py::backtest_loop@25,qlib/backtest/backtest.py::<module>@1,backtest_loop,backtest_loop,function,25,49,public,[],accepted_by_whole_file,已验收：外层生成器、非交互包装、清理/错误顺序、报告所有权及生产后端（2026-09-06）,[],[],[],[],[]
1,qlib/backtest/backtest.py,d77365075f503a9dc0affe009cb3f68c0c89142dbdf5629b0fcf9b492cd20cc8,qlib.backtest.backtest,backtest-execution,qlib/backtest/backtest.py::collect_data_loop@52,qlib/backtest/backtest.py::<module>@1,collect_data_loop,collect_data_loop,function,52,109,public,[],accepted_by_whole_file,已验收：外层生成器、非交互包装、清理/错误顺序、报告所有权及生产后端（2026-09-06）,[],[],[],[],[]
